N,V_shift_variance,quartic_diagonal,semi_diagonal,genuine_four_distinct,reconstruction_residual,V_over_N5,Q_over_N5,V_over_N4_log2,Q_over_N4_log2,D_over_N4_log2
100,1286774542.6116607,613843594.67512119,62536415.679719754,610394532.25681973,0,0.12867745426116609,0.061039453225681974,0.60675182538332151,0.28781887143892265,0.28944520522845968
250,81469288965.467911,44769723619.91246,3162255136.4122763,33537310209.143173,0,0.083424551900639146,0.034342205654162607,0.68410991734808668,0.28161785633085534,0.37593812728986653
500,1858160919423.5635,1047908212978.9474,62568622042.546104,747684084402.06995,0,0.059461149421554033,0.023925890700866238,0.76979628553854496,0.30974950818982477,0.43412593683585504
1000,46314101378209.523,23115838946476.227,1241658306085.2791,21956604125648.02,0,0.046314101378209523,0.021956604125648021,0.97059791739022516,0.46014137386118631,0.48443529017133768
