t,max_moment_ibp_residual,cauchy_energy,innovation_Hminus1_bound,energy_to_bound_ratio,innovation_b_at_t
1.37,1.5543122344752192e-15,0.014181822841213498,58.158003397788605,0.00024384989189214063,-2.8431304987424824
2.13,2.886579864025407e-15,0.015520211129599559,59.944526149996982,0.00025890956399861944,-2.6303792500757228
3.27,2.2204460492503131e-15,0.019302886409529485,59.182125734915317,0.00032616074819599592,-2.7754056806389995
4.41,5.773159728050814e-15,0.022096557054597454,59.452295102401777,0.00037166869700384014,-2.6696185892916837
