check,N,q,direct,sbp,residual,mixed_diff_l2,G_box_l2,dXi_l2,B_interval_l2
double,10,6,-175.5,-175.50000000000006,5.6843418860808015e-14,1214.3310915891102,9.4794184948234026,,
axis,10,6,-9720,-9720,0,,,7530.1059753498821,4.9085384790179649
double,20,6,-1699.4999999999918,-1699.5000000000009,9.0949470177292824e-12,10198.107667601867,18.375,,
axis,20,6,-178385,-178385,0,,,133468.62070164658,6.6638014676309201
double,20,30,10455.099609374978,10455.099609374993,-1.4551915228366852e-11,10198.107667601867,79.793150403111113,,
axis,20,30,-359267.240234375,-359267.240234375,0,,,133468.62070164658,10.552954022460192
