N,I_exact,J_discrete,diagonal_D,singular_main_M,signed_residual_sum,reconstruction_residual,shift_variance_V,cauchy_ratio,fourier_coeff_max_residual
100,858.17927848999841,727.07549139006892,42598.871206748707,-29276.484495963708,8340.5866382843906,2.0463630789890885e-12,1286774542.6116607,0.016523908167744503,3.637978807091713e-12
250,3648.4512286831518,3366.1051823250336,354998.07426142029,-231580.82307653979,55764.838536992094,-1.3369572116062045e-10,81469288965.467911,0.0087548521197028523,2.9103830456733704e-11
500,16705.023950253119,15452.911821004065,1689333.1317004655,-1130459.5714001507,293519.46146041795,-4.0199665818363428e-09,1858160919423.5632,0.0068160060989978051,1.1641532182693481e-10
1000,84660.555823002607,83343.921745473781,7852424.3768437337,-5663004.924064653,1778464.6965155166,-1.2834789231419563e-08,46314101378209.531,0.0058464317704585364,6.9849193096160889e-10
