q,A_minus_one,mean_K4,mean_P3,predicted_mean_P3,mean_C4,predicted_mean_C4,Kperp_alpha0_axis,Kperp_beta0_axis,Kperp_symmetry
2,1,0,1,1,-2,-2,0,0,0
3,0.125,0,0,0,-0.125,-0.125,0,0,0
6,1.25,-2.3129646346357429e-17,1,1,-2.25,-2.25,7.4207365039959967e-17,3.7007434154171883e-17,1.1102230246251565e-15
15,0.142578125,3.9474596431116677e-18,-9.8686491077791692e-19,0,-0.142578125,-0.142578125,8.7981181142458314e-18,7.8746548385748466e-18,2.2204460492503131e-16
30,1.28515625,-1.1348946473946045e-17,1,1,-2.28515625,-2.28515625,6.7283209484945289e-17,1.6266804377968529e-17,1.7763568394002505e-15
210,1.295735677083333,2.3926439061309496e-17,1,1,-2.2957356770833335,-2.295735677083333,4.5068509267209871e-16,4.5068509267209871e-16,1.0658141036401503e-14
