H,E0_over_H,pointwise_remainder,pointwise_over_H4,averaged_remainder,averaged_over_H3,additive_energy,note
16,0.0070298091666036264,-0.00032009881694239887,-4.8843203268798656e-09,-2.8320965604094428e-05,-6.9142982431871162e-09,1.4160482802047214e-05,smooth bump; diagnostic scaling only; direct character-average residual=1.525e-20
32,0.0070298583433428636,-0.0051217243838162958,-4.8844570005572279e-09,-0.00022656955053420316,-6.9143539591736806e-09,0.00011328477526710158,smooth bump; diagnostic scaling only
64,0.0070298584066050959,-0.081947593090871268,-4.884457176379637e-09,-0.0018125564234840108,-6.9143540324554854e-09,0.00090627821174200538,smooth bump; diagnostic scaling only
128,0.0070298584066096556,-1.311161489457342,-4.8844571763923094e-09,-0.01450045138787277,-6.9143540324558113e-09,0.0072502256939363848,smooth bump; diagnostic scaling only
256,0.0070298584066096565,-20.978583831317483,-4.8844571763923119e-09,-0.11600361110298214,-6.9143540324558105e-09,0.058001805551491072,smooth bump; diagnostic scaling only
