check,parameter,closed,numeric,residual
cauchy_fourier,0.0,1,1,0
cauchy_fourier,0.1,0.90483741803595952,0.9048374180359593,2.2204460492503131e-16
cauchy_fourier,0.3,0.74081822068171788,0.74081822068171732,5.5511151231257827e-16
cauchy_fourier,0.7,0.49658530379140953,0.49658530379140975,-2.2204460492503131e-16
cauchy_fourier,1.5,0.22313016014842982,0.22313016014842973,8.3266726846886741e-17
cauchy_fourier,3.0,0.049787068367863944,0.049787068367863938,6.9388939039072284e-18
finite_cauchy_pair,point-mass sample,1.2001380017873542,1.2001380017873564,-2.2204460492503131e-15
resolvent_green,point-mass sample,1.2001380017873542,1.2001380017873542,0
