N,q,sum_excluding_diagonal,removed_diagonal,max_omega,max_delta_h,max_delta_d,theorem_scale_N4qR3,ratio_to_scale
40,6,-3311899.000000014,259094.74999999863,82120,1600,1599,414720000,0.0079858675733025034
80,30,-118189894.65625034,6703652.246093723,669840,6400,6399,64800000000,0.0018239181274112707
120,30,-613672087.25781429,38271436.093749851,2275160,14400,14399,328050000000,0.0018706663229928801
120,210,-916080033.6096096,46614612.418144777,2275160,14400,14399,2083725000000,0.00043963576460886615
