kind,fibre,nu,J,q_J_upper,terminal_radius,u3_lower,u3_upper,a3_lower,a3_upper,a3_over_nu_mid
validated_point,minus,1e-07,8000,0.0877206959629528,0.09807863610000114,-5.790526593592555e-07,-5.790526590664629e-07,5.790526590664629e-07,5.790526593592555e-07,5.790526592128592
validated_point,plus,1e-07,12000,0.2472887980790968,0.33510139532530053,-5.331760293742198e-07,-5.331744110935366e-07,5.331744110935366e-07,5.331760293742198e-07,5.331752202338783
double_diagnostic,minus,1e-08,4641,,,,,,,5.790525679760708
double_diagnostic,plus,1e-08,4641,,,,,,,5.331752512784236
double_diagnostic,minus,1e-10,21544,,,,,,,5.790525592548301
double_diagnostic,plus,1e-10,21544,,,,,,,5.331752827107098
