fibre,nu_lo,nu_hi,N,eta,rho,q_raw,q_hat,X_bd,L_bd,L3,tail_bound,u3_core_upper,u3_upper,a3_lower
minus,0.0001,0.00015000000000000001,250,1.2273837044303897e-14,0.3871601453764564,0.08913447556103167,0.09341533528969201,0.3213171877549209,0.04802698060111612,1.9809910529171175e-05,0.03159157675409417,-0.00021744282027427785,-0.0002168169939653038,0.0002168169939653038
minus,0.00015000000000000001,0.00022500000000000002,250,1.3903006033631353e-14,0.3843711013482582,0.059422983707354445,0.0613192586747059,0.3126838574646279,0.031911473457647374,1.9741802941438574e-05,0.019794384767540817,-0.0003293639194221257,-0.0003289731425786979,0.0003289731425786979
minus,0.00022500000000000002,0.0003375,250,9.82070986090072e-15,0.38140723079176225,0.039615322471569625,0.04045574213289939,0.30642912725585975,0.021214510166688814,1.9653911411276843e-05,0.01265109825981977,-0.000499555707917545,-0.000499307064353091,0.000499307064353091
minus,0.0003375,0.00050625,250,9.1300616346826e-15,0.3778186593894836,0.026410214981046422,0.026782774378677373,0.30153893090071704,0.014106640097338197,1.9530038965018e-05,0.008182867894840885,-0.0007604665465443651,-0.0007603067348155333,0.0007603067348155333
minus,0.00050625,0.000759375,250,8.837913358393752e-15,0.373496165136102,0.01760680998736428,0.017771980707772046,0.29744072472543404,0.009381070195356262,1.9358796267196574e-05,0.005331737865224307,-0.0011634846598003552,-0.0011633814437732723,0.0011633814437732723
minus,0.000759375,0.001,250,6.081742129208135e-15,0.25299885438348274,0.011737873324909522,0.011808846275499696,0.16997190708122928,0.00604649144062212,1.1068469107521418e-05,0.002018950186503067,-0.0031098578523992724,-0.0031098355057115035,0.0031098355057115035
minus,0.001,0.0015,80,4.8250999429689114e-15,0.3654932022245482,0.08559440124365088,0.08957377916067273,0.3110957438963374,0.04649110057671011,0.00018480659265718034,0.029247898751978602,-0.002406387917926081,-0.0024009827134153458,0.0024009827134153458
minus,0.0015,0.0022500000000000003,80,4.829412217411324e-15,0.35938530866000434,0.057062934162433916,0.05882377116912455,0.3013615230242345,0.03085780695535705,0.00018440266055107249,0.018271363237450447,-0.003634445421738351,-0.00363107613374547,0.00363107613374547
minus,0.0022500000000000003,0.0033750000000000004,80,5.0111153613861565e-15,0.35301533902405013,0.038041956108289275,0.03882149878958462,0.2940544417618927,0.020491656082992235,0.00018462273105450823,0.011638219282751694,-0.00545000226796028,-0.0054478535881316865,0.0054478535881316865
minus,0.0033750000000000004,0.005062500000000001,80,1.9824379464718175e-15,0.3468183712812185,0.025361304072192854,0.025706610251062426,0.2885273719587284,0.0136154741052209,0.0001851797520890509,0.007510499907303698,-0.008142545218416737,-0.008141154425905838,0.008141154425905838
minus,0.005062500000000001,0.0075937500000000015,80,2.8805265570315217e-15,0.34000794410175644,0.016907536048128568,0.01706051758076762,0.28373298592163576,0.009048126953778348,0.0001858007585204443,0.004880489362077687,-0.012153276798086005,-0.01215236999946058,0.01215236999946058
minus,0.0075937500000000015,0.011390625000000001,80,2.263573939284038e-15,0.33240409371612273,0.011271690698752378,0.011339467218715565,0.2787616943253513,0.00601298614152794,0.00018626221289477123,0.0031781541721465963,-0.01813706986138263,-0.018136477891353607,0.018136477891353607
