nu,N,a3_minus,a3_plus
9.999999999999999e-06,100,5.790626898853678e-05,5.331718457965597e-05
1.778279410038923e-05,100,0.00010297492688075668,9.481237037996396e-05
3.1622776601683795e-05,80,0.00018312261785380317,0.00016860138008041389
5.623413251903491e-05,80,0.0003256571488557926,0.00029981555881051234
0.0001,80,0.0005791534205926777,0.0005331405783783071
0.00017782794100389227,80,0.0010300349365443095,0.0009480241268123347
0.00031622776601683794,70,0.0018321224578127721,0.0016856944524865534
0.0005623413251903491,70,0.0032593653108164704,0.0029971210221381244
0.001,70,0.005800135068989551,0.005327994302455468
0.0017782794100389228,70,0.010326166808040186,0.009468666800246413
0.0031622776601683794,55,0.018394444408728464,0.016815928783334017
0.005623413251903491,55,0.032771371214436934,0.029816848054201907
0.01,55,0.058204363306384545,0.05265610159941549
0.01778279410038923,55,0.10158522113987908,0.09199870575575263
0.03162277660168379,55,0.1666166385137215,0.15621996267885718
0.056234132519034905,55,0.23335480665154185,0.2460538877183724
0.1,55,0.24661916172904907,0.3240023416861989
0.1778279410038923,55,0.19188459487513765,0.31694294377165927
0.31622776601683794,55,0.12278403606406821,0.23264365665596742
0.5623413251903491,55,0.07219355369996254,0.14480366196911415
1.0,55,0.04119104574226611,0.08427651626433352
1.7782794100389228,55,0.02327102822608681,0.047922076864044406
3.1622776601683795,55,0.013105512271023276,0.027044188000614623
5.62341325190349,55,0.007373201198527669,0.015225148575148884
10.0,55,0.004146866066581298,0.00856477274014813
17.78279410038923,55,0.0023320627146473896,0.004816866949667922
31.622776601683793,55,0.0013114345427420657,0.002708819615708403
56.23413251903491,55,0.0007374772717648097,0.0015232983330451583
100.0,55,0.0004147145568067158,0.0008566166478383662
177.82794100389228,55,0.00023321124201538388,0.0004817114823392896
316.2277660168379,55,0.00013114433819021488,0.0002708863696167376
562.341325190349,55,7.374788436209169e-05,0.00015233061718802776
1000.0,55,4.1471483632722605e-05,8.566180418139799e-05
