fibre,nu,plateau_proxy,half_decay_observed,half_decay_wkb,ratio,a3_over_nu,endpoint_c0,central_error,central_error_over_nu
minus,0.001,2.9782479661975594,4,5.265210983401978,0.7597036495991476,5.800135068990422,5.790525578422648,0.00960949056777416,9.60949056777416
minus,0.0001,2.9782479661975594,10,11.34355319297811,0.8815579942085698,5.791534205924048,5.790525578422648,0.0010086275013998502,10.086275013998502
minus,1e-05,2.9782479661975594,23,24.43894450717398,0.9411208406831326,5.790626898880611,5.790525578422648,0.00010132045796318323,10.132045796318323
minus,1e-06,2.9782479661975594,52,52.652109834019775,0.9876147444788921,5.7905357150266346,5.790525578422648,1.0136603986410364e-05,10.136603986410364
minus,1e-07,2.9782479661975594,112,113.43553192978109,0.9873449535135982,5.790526592128606,5.790525578422648,1.013705958285982e-06,10.13705958285982
plus,0.001,-11.47886305862567,,9.746126391046369,nan,5.327994302455635,5.3317525458744885,-0.0037582434188534464,-3.7582434188534464
plus,0.0001,-11.47886305862567,19,20.997392790305543,0.9048742474719178,5.331405784402544,5.3317525458744885,-0.00034676147194456775,-3.4676147194456775
plus,1e-05,-11.47886305862567,44,45.23751142765963,0.9726441311954446,5.3317181603455275,5.3317525458744885,-3.438552896106728e-05,-3.4385528961067275
plus,1e-06,-11.47886305862567,96,97.46126391046367,0.9850067211132608,5.331749110227708,5.3317525458744885,-3.43564678040309e-06,-3.43564678040309
plus,1e-07,-11.47886305862567,209,209.97392790305543,0.9953616722191095,5.331752202338868,5.3317525458744885,-3.435356203951301e-07,-3.435356203951301
