fibre,j,delta_even,delta_odd,delta_even_scaled,delta_odd_scaled,s_even_scaled,s_odd_scaled,c_even_over_lead,c_odd_over_lead,cbar_over_shift,gauge,j_gauge_minus_1
minus,10,0.0017591808172818374,0.0015752900123359084,1.1157303899326034,0.9991007873972826,0.904795106393842,0.7836837896195012,1.1023209706902801,1.2097926764691662,0.99929239404128,0.977010609027542,-0.22989390972458001
minus,20,0.00039717024342736005,0.0003774865503618773,1.0075937759565532,0.9576575912880587,0.939870578890995,0.8738245890096584,1.0504982285638758,1.102370987642495,0.9997360178554086,0.9880226196492801,-0.2395476070143987
minus,50,6.241714788898597e-05,6.118794291768218e-05,0.9896752520906751,0.9701851955759194,0.9725121801620661,0.9441518805350555,1.020070244069684,1.0403701766702127,0.9999468167207385,0.9950858398715542,-0.24570800642229051
minus,100,1.564823434999912e-05,1.549331641632106e-05,0.992462539470958,0.9826371340974932,0.9856401043188766,0.9710694450809153,1.0100166879189583,1.0200916834590237,0.9999856516303103,0.997521662264497,-0.2478337735502989
minus,1000,1.5751705875210127e-07,1.573597345316143e-07,0.9990250442479814,0.998027242247497,0.9985062926899153,0.9970110132626184,1.0010001586142252,1.0020009086137551,0.9999998463445484,0.9997502185321924,-0.24978146780763044
minus,10000,1.57655053264344e-09,1.5763928972563282e-09,0.9999002508750694,0.9998002733229033,0.9999255034336066,0.9996311286150403,1.0001000015776538,1.0002000090776537,0.9999999984528858,0.9999750021872816,-0.24997812718363654
plus,10,0.06586572284841458,0.059467088602150074,1.0385099948593508,0.9376222291016117,0.7795430236682654,0.6839458581784013,1.1881000407925448,1.294938627436937,1.0733322282349105,0.9787030826480397,-0.21296917351960265
plus,20,0.01575062914553589,0.01498101571519151,0.9933655981037028,0.9448273779171543,0.9023403547227135,0.8404941244122344,1.0697196098081747,1.121520721346607,1.017565605086393,0.9882473621622064,-0.23505275675587134
plus,50,0.002505108584985187,0.0024558803215935796,0.9874560663755408,0.9680514195612142,0.9657176696610503,0.9376816148101282,1.0228181940285845,1.0431156367109808,1.0026130791336068,0.9950994753261406,-0.24502623369296872
plus,100,0.0006290857638530313,0.0006228613129107679,0.9918844356853936,0.9820702952850383,0.9838656682167392,0.9693383318371509,1.0106708429342186,1.0207456679796905,1.0006300279792508,0.9975232981106134,-0.24767018893866455
plus,1000,6.336106811576536e-06,6.3297785003806594e-06,0.9990189081295467,0.9980211183622311,0.9984880404625341,0.9969925674555996,1.001006380239761,1.0020071302208875,1.0000060586397266,0.9997502200882982,-0.24977991170183067
plus,10000,6.341696185485414e-08,6.341062095013407e-08,0.9999001890778686,0.9998002115380576,0.9998512967978023,0.9997009087231257,1.000100063461332,1.00020007096133,1.0000000603272816,0.9999750021888288,-0.24997811171156847
