q,coefficient_formula_residual,beta_zero_axis_residual,row_mean_residual,alpha_zero_axis_residual
6,6.6613381477509392e-16,0,1.0362081563168128e-15,6.1975700597239424e-19
30,9.8489118095636102e-16,0,1.3174646558885191e-15,2.8020484234999077e-17
210,9.5768190555919851e-16,0,2.9352182060566042e-15,1.1124819797847743e-16
Omega N=12,5.615715524631227e-12,alpha=0.2,beta=0.14285714285714285,exact transform direct-vs-formula
Omega N=12,1.4665161412810538e-11,alpha=0.0,beta=0.14285714285714285,exact transform direct-vs-formula
Omega N=12,3.2969182939268649e-12,alpha=0.2,beta=0.18181818181818182,exact transform direct-vs-formula
