q,H_d_actual,mean_antiderivative_square,finite_analytic_majorant,actual_to_majorant_ratio,beta_zero_axis_residual,DeltaG_minus_K_residual,parseval_residual
6,1.463541666666667,1.4635416666666663,22.907182227098069,0.063890078323791788,0,6.6613381477509392e-16,6.6613381477509392e-16
30,5.4005982081095434,5.4005982081095416,65.031095741523913,0.08304639721242052,0,3.5527136788005009e-15,1.7763568394002505e-15
210,8.6659758697137352,8.6659758697137423,112.28706988614729,0.077176970407194193,0,7.8548278992229825e-15,7.1054273576010019e-15
2310,10.013536163226007,10.013536163226021,139.141073754806,0.07196678804471375,0,1.7763568394002505e-14,1.4210854715202004e-14
