N,q,direct_sum,sbp_sum,sbp_residual,deltaG_residual,dOmega_l2,G_box_l2,cauchy_bound
20,6,-180084.49999999997,-180084.5,2.9103830456733704e-11,6.6613381477509392e-16,29766.363970092149,48.299844720247293,1437710.7576418144
40,6,-3052804.25,-3052804.25,0,6.6613381477509392e-16,348739.93446119706,96.801342965890711,33758494.001680583
40,30,-6580879.73046875,-6580879.73046875,0,3.5527136788005009e-15,348739.93446119706,186.94044229072512,65193597.592614666
80,30,-111486242.41015625,-111486242.41015625,0,3.5527136788005009e-15,4012791.9357893453,372.51484758113469,1494824576.3353744
