theta,minor_fourth_moment_exponent,saving_from_N3,MPR_floor_exponent,note
0.050000000000000003,2.9500000000000002,0.049999999999999822,31/12,prime |S|^4 component only
0.10000000000000001,2.8999999999999999,0.10000000000000009,31/12,prime |S|^4 component only
0.20000000000000001,2.7999999999999998,0.20000000000000018,31/12,prime |S|^4 component only
0.29999999999999999,2.7000000000000002,0.29999999999999982,31/12,prime |S|^4 component only
0.40000000000000002,2.6000000000000001,0.39999999999999991,31/12,prime |S|^4 component only
0.41666666666666669,2.5833333333333335,0.41666666666666652,31/12,prime |S|^4 component only
0.45000000000000001,2.5833333333333335,0.41666666666666652,31/12,prime |S|^4 component only
0.5,2.5833333333333335,0.41666666666666652,31/12,prime |S|^4 component only
