m,h,reference_block_energy,active_prime_powers,prime_cutoff_for_block
1,0.69314718055994529,0.0013559872644591815,9,14.778112197861303
2,0.69314718055994529,0.00087207862333065411,17,40.171073846375336
3,0.69314718055994529,0.00091112664019203074,32,109.19630006628849
4,0.69314718055994529,0.00092226254332978836,64,296.82631820515326
5,0.69314718055994529,0.00086822867172073239,132,806.85758698547033
6,0.69314718055994529,0.00089860805637355834,299,2193.2663168569175
7,0.69314718055994529,0.00090016882338328605,703,5961.9159740834575
8,0.69314718055994529,0.00093693100176336984,1678,16206.16785515077
