m,total_energy,prime_self_energy,correlation_remainder,active_prime_powers,self_to_total_ratio
1,0.0013559876553448176,0.2893337335967292,-0.28797774594138437,9,213.37490238666942
2,0.00087207955747957899,0.49101525733011336,-0.49014317777263378,17,563.03952216149867
3,0.00091112652884819696,0.70780117811308996,-0.70689005158424179,32,776.84180594308748
4,0.00092226061633390226,0.95510467159173162,-0.95418241097539769,64,1035.6125531938992
5,0.00086822820251588348,1.1891411064210542,-1.1882728782185383,132,1369.6181522038266
6,0.00089860862608516826,1.424892818749341,-1.4239942101232559,299,1585.6656361701703
7,0.00090016888425130523,1.6503934635120205,-1.6494932946277692,703,1833.4264740606952
8,0.00093692963510976933,1.8778556591523357,-1.8769187295172258,1678,2004.2654098910307
