type,parameter,direct_or_closed,filtered_or_numeric,residual
FIR,1.2,-0.037723312596014025,-0.037723312596015607,1.5820678100908481e-15
FIR,2,0.032877069929355907,0.0328770699293542,1.7069679003611782e-15
FIR,3.2999999999999998,0.017610371202174679,0.017610371202171161,3.5180192092809648e-15
FIR,4.7000000000000002,0.046855318801425128,0.04685531880142018,4.9474313534858538e-15
FIR,5.7999999999999998,-0.039129438898674707,-0.039129438898689722,1.5015766408055242e-14
KERNEL,0,1.4417984697847122,1.4417984697847122,0
KERNEL,0.17328679513998632,0.91738501295084207,0.91738501295084207,0
KERNEL,0.34657359027997264,0.3864671683828132,0.38646716838281314,5.5511151231257827e-17
KERNEL,0.69314718055994529,-0.67927115339373978,-0.67927115339373989,1.1102230246251565e-16
KERNEL,1.0397207708399179,-0.34483908688419701,-0.34483908688419707,5.5511151231257827e-17
KERNEL,1.2130075659799042,-0.1730699822155144,-0.1730699822155144,0
KERNEL,1.3862943611198906,0,0,0
