q,reconstruction_residual,axis_residual,bad_denominator_residual,nonzero_fourier_coeff_count,shell_sup,shell_l2_mean
5,0,5.5511151231257828e-19,0,16,0.093750000000000014,0.00061035156250000022
6,1.2325951644078309e-32,2.4688852924574092e-17,0,17,2.2499999999999991,0.68749999999999967
10,2.7755575615628914e-17,1.5543494920821136e-17,0,81,0.93750000000000022,0.1427001953125
15,2.7755575615628914e-17,4.9390430473120216e-18,0,192,0.70312499999999989,0.036816596984863274
30,4.4408920985006262e-16,2.285209059020114e-17,0,729,4.6284179687500027,1.2211771011352539
42,4.9960036108132044e-16,2.2048352885087082e-17,0,1473,2.4837962962962972,0.33545775864840516
70,4.4408920985006262e-16,7.7611219471952637e-18,0,4761,0.99990957754629717,0.050478124160661941
105,2.2204460492503131e-16,3.6709376555746754e-18,0,10524,0.30175140757619623,0.0056652686961938901
210,2.6645352591003757e-15,4.4698710950151648e-17,0,37905,4.9547164351851878,0.1162256266620261
